Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
34506,"The Light Fantastic (Discworld, #2; Rincewind #2)",Terry Pratchett,"Pratchett, Terry",,"=""0061020702""","=""9780061020704""",0,3.96,HarperTorch,Mass Market Paperback,277,2000,1986,,2019/01/17,,,read,,,,1,,,0,,,,,
34497,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060855924""","=""9780060855925""",0,3.98,Harper,Paperback,228,2005,1983,,2019/01/17,,,read,,,,1,,,0,,,,,
34504,"Wyrd Sisters (Discworld, #6; Witches #2)",Terry Pratchett,"Pratchett, Terry",,"=""0061020664""","=""9780061020667""",0,4.12,Hartorch,Mass Market Paperback,265,2001,1988,,2019/01/17,"to-read, owned, publio","to-read (#449), owned (#209), publio (#28)",to-read,,,,0,,,0,,,,,
13622381,"Umarli tańczą (Robert Pruski, #1)",Piotr Głuchowski,"Głuchowski, Piotr",,"=""8326807508""","=""9788326807503""",0,3.52,Agora S.A.,Paperback,512,2012,2012,,2019/01/17,"to-read, publio, owned","to-read (#448), publio (#27), owned (#208)",to-read,,,,0,,,0,,,,,
22057736,"Księżniczka z lodu, część 1 (Patrik Hedström, #1A)",Camilla Läckberg,"Läckberg, Camilla",Inga Sawicka,"=""8375548839""","=""9788375548839""",0,3.79,Czarna Owca,Hardcover,272,2014,2003,,2019/01/17,"to-read, owned, publio","to-read (#446), owned (#206), publio (#25)",to-read,,,,0,,,0,,,,,
14061158,Polskie piekiełko. Obrazy z życia elit emigracyjnych 1939-1945,Sławomir Koper,"Koper, Sławomir",,"=""8311123012""","=""9788311123014""",0,3.76,Bellona,Paperback,440,2012,2012,,2019/01/17,"to-read, publio, owned","to-read (#445), publio (#24), owned (#205)",to-read,,,,0,,,0,,,,,
12291800,"Plan Sary (Jakub Stern, #2)",Paweł Jaszczuk,"Jaszczuk, Paweł",,"=""8376485822""","=""9788376485829""",0,2.31,Prószyński i S-ka,Paperback,240,2011,2011,,2019/01/17,"to-read, publio, owned","to-read (#444), publio (#23), owned (#204)",to-read,,,,0,,,0,,,,,
12307859,Kuna za kaloryferem,Adam Wajrak,"Wajrak, Adam",Nuria Selva Fernández,"=""8326805041""","=""9788326805042""",0,3.79,Agora S.A.,Paperback,352,2011,2011,,2019/01/17,"publio, owned, to-read","publio (#22), owned (#203), to-read (#443)",to-read,,,,0,,,0,,,,,
8019004,Zrób mi jakąś krzywdę... czyli wszystkie gry video są o miłości,Jakub Żulczyk,"Żulczyk, Jakub",,"=""8389603381""","=""9788389603388""",0,3.22,Lampa i Iskra Boża,Paperback,324,2006,2006,,2019/01/16,,,read,,,,1,,,0,,,,,
17911815,Polonez na polu minowym,Dorota Wodecka,"Wodecka, Dorota","Hanna Krall, Marian Pilot, Eustachy Rylski, Magdalena Tulli, Janusz Rudnicki, Jan Jakub Kolski, Andrzej Stasiuk, Joanna Bator, Igor Ostachowicz, Wojciech Kuczok, Mariusz Sieniewicz, Krzysztof Varga, Tomasz Piątek, Ignacy Karpowicz, Szczepan Twardoch","=""""","=""9788326814167""",0,3.41,Agora S.A.,ebook,256,2013,2013,,2019/01/16,"to-read, owned, publio","to-read (#442), owned (#197), publio (#16)",to-read,,,,0,,,0,,,,,
